session,predicted_company,ensemble_score,n_headlines,score_margin,split
0,Orevex Renewables,0.7167457758925526,3,0.49050766249386457,train
1,Halvav Brands,0.48393022267142904,2,0.2244459189919168,train
2,Zelval Energy,0.07071062753293667,2,0.14142125506587347,train
3,Talvix Holdings,0.5095220169823342,4,0.6134811081319784,train
4,Zelval Energy,0.7089102779687517,2,0.6584642295755473,train
5,Nolvol Resources,0.7252110776520226,4,0.5301259000550735,train
6,Nolvav Commerce,0.4495355283225337,3,0.2820531637481214,train
7,Myrnep Technologies,0.5321596825447016,5,0.0353358448685559,train
8,Ilval Financial,0.8164083254783274,4,1.1361425625709862,train
9,Halvax Networks,0.6752014945442802,1,0.38714054324352887,train
10,Frelis Genomics,0.6231627817770831,3,0.1730211920288024,train
11,Wyrnik Sciences,0.732900250824984,3,0.46271441538031954,train
12,Jorvis Fuels,0.5083018503776067,4,0.357853775239768,train
13,Jorvyl Securities,0.6601908032876546,2,0.9058005707840652,train
14,Frelis Genomics,0.8061244311460839,5,0.10963056590554532,train
15,Myrnep Technologies,0.5525949950176782,1,0.6539100263144202,train
16,Myrnep Technologies,0.2838472112305283,3,0.00270905167834129,train
17,Zrovex Industries,0.9391156109202297,1,0.8454507054102993,train
18,Strynal Industries,0.6538288571992056,2,0.6374007532614304,train
19,Plevik Energy,0.4498224643842751,2,0.3977557669802152,train
20,Brevep Systems,1.062784950909941,4,1.1046175743406421,train
21,Jorvix Diagnostics,0.7648610340492569,1,0.21994790452725277,train
22,Plevum Partners,1.0093688607271054,3,1.0447350683327048,train
23,Holtar Stores,1.190462542156321,4,1.4086832126789006,train
24,Crevex Labs,0.6118410124745506,6,0.4415037197411587,train
25,Brevep Systems,0.887374979750265,3,0.4538303266780295,train
26,Jorval Trading,0.9598385361744023,4,0.6794766428682748,train
27,Grevel Diagnostics,0.37646851595474884,1,0.25790857917970983,train
28,Zelvel Capital,0.9234439473367901,3,1.0470752642454053,train
29,Talvep Computing,0.5894657145377026,3,0.46999290671737104,train
30,Jorvyl Securities,1.088061406374896,4,1.1798876574388002,train
31,Ixenis Outlets,1.0985391351923564,2,1.2283884843436914,train
32,Zelval Energy,0.7670396541873029,1,0.7605121886108084,train
33,Xelvol Biotech,0.36558489022427454,1,0.056592674576805,train
34,Frelol Software,1.2675350442475863,3,1.6680012012101997,train
35,Myrnon Therapeutics,0.652883733816671,5,0.8794303144281344,train
36,Dralol Computing,0.45679416085963565,1,0.42229803104112074,train
37,Frelol Software,0.9402616014996377,2,1.0718792135639181,train
38,Nolvol Resources,0.6665032095749244,3,0.4045246063113862,train
39,Brevep Systems,0.5798162596403639,2,0.6245080170764252,train
40,Crevex Labs,1.0331692766976266,4,0.8992629321730726,train
41,Grevon Biotech,0.4500961078535015,2,0.17373527260046617,train
42,Halvax Networks,0.652288206704591,3,0.017673058621735738,train
43,Brevep Systems,0.7071066179493545,5,1.414213235898709,train
44,Wyrnik Sciences,0.8376537687850999,4,0.2740361660092283,train
45,Joval Brands,1.0957060286686997,6,1.3889276291332349,train
46,Nolvis Devices,0.4820586211121952,1,0.2339360513348203,train
47,Krevan Investments,0.7528806379757145,2,0.3919597701704447,train
48,Nolvis Devices,0.7071066182783741,4,1.4142132365567481,train
49,Halvax Networks,0.6425575110291826,5,0.19866645202526456,train
50,Plevyl Advisors,0.981011508372124,2,1.0945775669203512,train
51,Wyrnik Sciences,0.8893832137105491,1,0.538100796630091,train
52,Zrovum Biopharma,0.05709032233207462,3,0.006015182321364665,train
53,Myrnep Technologies,0.640646202984648,3,0.6052228224053762,train
54,Crevex Labs,0.9323765548944867,3,0.9037836560590509,train
55,Talvyn Goods,0.8416795425546031,3,0.28548399877382924,train
56,Zelvix Therapeutics,0.558382062102697,2,0.5284671789008034,train
57,Talvep Computing,0.6729307886884486,3,0.18439352190053754,train
58,Xovep Stores,0.7280138553158672,1,0.56879243345175,train
59,Myrnon Therapeutics,0.9732196587407602,3,0.828146766928705,train
60,Halvax Networks,0.7587708999124977,3,0.9203951138965392,train
61,Relvan Software,0.8447997589754883,2,0.988825423326297,train
62,Jorval Trading,0.7047909687980791,1,0.1940379239509964,train
63,Urvel Grid,0.9211111424888967,1,0.534259027652612,train
64,Urvel Grid,0.880009546849598,1,1.1058834708953411,train
65,Plevik Energy,0.9848434000998088,4,0.514157204125495,train
66,Nolvol Resources,0.5410588381224996,3,0.27291567502467384,train
67,Ulvon Renewables,0.4116737207358312,1,0.2601448189142781,train
68,Myrnon Therapeutics,0.8618459351085773,2,0.8229938586564459,train
69,Orevex Renewables,0.9547433626667685,1,1.0810629516396955,train
70,Ixenix Technologies,0.4968013818202123,2,0.22349719039006444,train
71,Nolvol Resources,0.8553041560385373,5,0.7388384520938979,train
72,Kelvos Resources,0.923639982162294,3,0.4857636590543365,train
73,Arnik Commerce,0.4833202627044322,2,0.20835869236529359,train
74,Plevyl Advisors,0.8654902772338534,2,0.3963807731893725,train
75,Varvov Retail,1.0554332003089815,5,0.7664417787201219,train
76,Talvep Computing,0.8800310231991367,3,1.0962104427619237,train
77,Plevum Partners,0.3531304454741928,1,0.42739690820887466,train
78,Wyrnor Solutions,0.7554451152996144,6,0.10710742686927754,train
79,Wyrnik Sciences,0.4229770415777846,2,0.38272510955307015,train
80,Wrelal Financial,1.2863833669238607,4,1.2374773363381566,train
81,Strynal Industries,0.8618235199363105,3,0.711509408031354,train
82,Grevon Biotech,0.8234028065646954,4,0.3581548174797087,train
83,Plevyl Advisors,1.1357751084791363,4,0.9735897703517964,train
84,Myrnep Technologies,0.567386583227411,1,0.41473713231069487,train
85,Zrovum Biopharma,0.29353803309702264,2,0.028262610710756808,train
86,Orevov Solutions,0.8225835683075773,3,0.5276028323513721,train
87,Yorven Labs,0.8580343675300971,4,0.9529247312266644,train
88,Plevep Power,0.6878171390554817,3,0.26131858601324054,train
89,Holtar Stores,0.9615346614296992,8,0.9628655914160457,train
90,Pleven Trading,0.8353177245522588,5,0.45373233635671734,train
91,Xovep Stores,1.2785622414121136,4,1.4879102713166759,train
92,Halvav Brands,0.9441543017862775,4,0.5597955845988938,train
93,Arnos Marketplace,0.49460275314697183,5,0.022836086133215694,train
94,Talvyn Goods,0.5573210245466846,2,0.342210606785961,train
95,Plevum Partners,0.8101009376585585,2,0.7654879989618731,train
96,Holtum Asset,0.38978621427852334,5,0.5745218013024722,train
97,Myrnep Technologies,0.8878337488363486,3,0.681994745423438,train
98,Nolvis Devices,0.4185926074023184,1,0.02658942065104769,train
99,Frelex Outlets,0.8147759584338727,1,0.6488423946502371,train
100,Plevum Partners,0.6950009995948692,2,0.7488927490446355,train
101,Zelvel Capital,0.5544538894011117,2,0.28045451763688367,train
102,Myrnep Technologies,0.6989096992962363,3,0.44810789029612147,train
103,Arnik Commerce,0.9577232187076412,3,0.9541022897658546,train
104,Yorval Partners,0.48742357608147774,1,0.2234773420772062,train
105,Frelol Software,1.0002272630340694,3,1.145565688130061,train
106,Xelvol Biotech,0.7742047592421131,2,0.8077547751572435,train
107,Halvav Brands,0.616818567947953,2,0.606728943000399,train
108,Pleven Trading,1.2053406600544239,5,1.3460719474468137,train
109,Zelval Energy,0.6234009688710708,2,0.09234577325067828,train
110,Nolvav Commerce,0.793768717289862,3,0.0428508405407102,train
111,Myrnep Technologies,0.7579409741147953,2,0.38169950383067386,train
112,Talvix Holdings,0.6660298181140362,1,0.5844765432029426,train
113,Talvep Computing,0.8961813027053553,2,0.38978586660743697,train
114,Halvax Networks,0.7520925650644672,1,0.7120450120521032,train
115,Ulvon Renewables,0.8767340490179497,2,0.7117124045813132,train
116,Prynis Systems,0.723525103044117,5,0.4951724163269703,train
117,Relvon Fuels,0.4089220462653761,1,0.11124504778381972,train
118,Krevum Pharmaceuticals,0.4485129034523577,1,0.1468501622686425,train
119,Plevep Power,0.87776548992311,1,0.950967754151395,train
120,Plevum Partners,0.8153765928797229,2,0.92730798220934,train
121,Nolvav Commerce,1.0603293754865881,4,0.7954541044353569,train
122,Wrelal Financial,0.74018444315364,2,0.6175682911446587,train
123,Halvax Networks,0.8740655668635768,2,0.657497827767327,train
124,Relvos Biosciences,0.4285913404485847,1,0.21683686683836056,train
125,Calvis Sciences,0.9117866775133672,2,1.0727459296053523,train
126,Relvon Fuels,0.8404487164007483,2,1.0816857527760795,train
127,Yorval Partners,0.6492478071459645,2,0.5159059221491721,train
128,Volval Devices,0.8964814993647338,1,0.7576534133245405,train
129,Relvon Fuels,0.688528220198046,4,0.24721459618913078,train
130,Talvyn Goods,0.961006768119048,3,0.8685792529514201,train
131,Jovik Asset,0.8722801772412415,5,0.43037851537788396,train
132,Nolvol Resources,0.35355317900198685,3,0.7071063580039738,train
133,Ervan Capital,0.48718535984642364,1,0.020112982429061288,train
134,Ilval Financial,0.6060018910204558,1,0.514402363323601,train
135,Nerven Grid,0.3169563551682905,4,0.2839867169024808,train
136,Plevum Partners,0.6908321474068011,3,0.12751602901594106,train
137,Joval Brands,0.1632324613481611,3,0.015153145857927208,train
138,Strynal Industries,0.5303288559171095,3,1.060657711834219,train
139,Halvax Networks,0.4634065618962879,4,0.18366867165581713,train
140,Yorvov Pharmaceuticals,0.25744202275676176,2,0.09077571669763906,train
141,Pleven Trading,0.7324538069993726,2,0.7086169987152607,train
142,Zelvel Capital,0.4207819003560348,1,0.13466900687650074,train
143,Halven Investments,0.6074261953895465,1,0.33241401541256566,train
144,Orevex Renewables,0.8051040063031478,5,0.5604301919014494,train
145,Myrnep Technologies,0.9097339395444549,2,1.0428760442922793,train
146,Myrnep Technologies,0.5087735757453224,3,0.09405682113362923,train
147,Talvyn Goods,0.7111514328996128,1,0.6475656394002888,train
148,Frelol Software,0.7139461817494388,3,0.38949781831743086,train
149,Nerven Grid,0.579092516564048,3,0.19934020223085352,train
150,Crevol Retail,1.1895140561648987,4,0.9592336065652032,train
151,Myrnon Therapeutics,0.9445513100804666,5,0.6437224873633169,train
152,Jorval Trading,0.6525601491763432,3,0.45135542436984044,train
153,Holtar Stores,0.50886113291108,3,0.4970067912351107,train
154,Nolvis Devices,0.3535526576382702,3,0.7071053152765405,train
155,Orevex Renewables,0.7670798124433228,3,0.815245240810705,train
156,Halvax Networks,0.7668344636706383,3,0.16722334923622917,train
157,Frelex Outlets,0.2020725397108346,1,0.0,train
158,Relvon Fuels,0.613276836281607,1,0.4020250204905201,train
159,Zelval Energy,0.8169337567968153,6,0.23859486515995199,train
160,Jovik Asset,0.9330145232445856,2,0.8639628858329904,train
161,Zrovum Biopharma,1.155484472377653,4,1.1847957629533157,train
162,Pleven Trading,0.5568641433585344,3,0.1819732433780496,train
163,Orevar Marketplace,0.43529635654016063,3,0.09442393681460515,train
164,Jovik Asset,0.7935696894967176,2,1.0218748823530772,train
165,Calvis Sciences,0.49995736208571034,3,0.5283758354606369,train
166,Ixenix Technologies,0.7465132239373529,4,0.9090732039358018,train
167,Yorven Labs,1.0697583522206129,4,0.6114862488432589,train
168,Plevik Energy,0.4839434986355762,2,0.5958342011629705,train
169,Relvon Fuels,0.4951952183518146,4,0.49975321369436965,train
170,Orevex Renewables,0.9327731372146644,3,0.7921271965424397,train
171,Crevex Labs,0.7139433890100056,2,0.047373133382468624,train
172,Holtar Stores,0.702675358156594,2,0.6910940037356372,train
173,Krevum Pharmaceuticals,0.4811887383666397,2,0.3029957436900821,train
174,Holtum Asset,0.7098424841573401,3,0.5784432008922644,train
175,Kelvik Power,0.6683880480315436,1,0.8152215671996326,train
176,Halvax Networks,0.6124486849438793,4,0.11993378534791471,train
177,Volval Devices,0.8291710683402755,2,0.7816122393131794,train
178,Yorvov Pharmaceuticals,0.5641003252467316,3,0.311428951963488,train
179,Holtar Stores,0.7148058573630034,1,0.6999030825286732,train
180,Plevep Power,0.7627210213359,5,0.09059715339357233,train
181,Zelvon Biosciences,0.38546939159695903,3,0.3701737511722455,train
182,Xovol Goods,0.7747670928313393,1,0.7397023217138989,train
183,Zrovov Advisors,0.836796004451172,3,0.667743903473595,train
184,Nolvis Devices,1.0485915665123624,4,1.3160589743660116,train
185,Frelol Software,1.0116218002607273,6,0.8729719212095765,train
186,Calvis Sciences,0.8879132868773215,3,0.2267336369699311,train
187,Xovep Stores,0.3975397718261483,2,0.3082270867661697,train
188,Orevar Marketplace,0.28440069800914747,1,0.36990884626547493,train
189,Arnik Commerce,0.6553295093774331,3,0.447725603880862,train
190,Talvep Computing,1.023066010972584,5,0.9335215652059385,train
191,Calvos Genomics,0.7107770429308938,4,0.36136213203472417,train
192,Talvyn Goods,0.7806562414742205,3,0.5921720985123287,train
193,Creven Securities,0.9648965451290525,8,0.5427540044858785,train
194,Orevex Renewables,0.6461684904972844,3,0.42311782655331076,train
195,Relvon Fuels,0.8788252071176387,3,0.9151252305047453,train
196,Prynis Systems,0.7195309564169092,1,0.8523612882142484,train
197,Frelex Outlets,0.6019797636604851,3,0.04579142082327725,train
198,Ulvon Renewables,0.8091813239430129,1,0.8331212647563229,train
199,Xelvol Biotech,0.7552271139925807,2,0.7043176793202173,train
200,Plevik Energy,0.6565971561404312,4,0.2911844616020464,train
201,Frelex Outlets,0.3579694598003954,3,0.24562330639760896,train
202,Calvis Sciences,0.34929436164974503,1,0.06053719622216763,train
203,Arnos Marketplace,0.2886749415273856,1,0.0,train
204,Zrovex Industries,0.6623438306557508,2,0.6311447280553832,train
205,Talvyn Goods,1.0478500722444586,2,0.9256990100965354,train
206,Crevex Labs,0.7071064557935552,2,1.4142129115871105,train
207,Talvix Holdings,0.6002826137221732,4,0.259193922699434,train
208,Frelex Outlets,0.6982504888706669,2,0.4704528339034397,train
209,Talvep Computing,0.7392859507117728,3,0.6896050724568236,train
210,Krevan Investments,1.0812056235645726,4,0.8264285242664847,train
211,Relvos Biosciences,0.9463156765683038,1,0.9121848219922112,train
212,Frelol Software,0.6371626015908666,2,0.43598338222706684,train
213,Nerval Biopharma,0.6663692260004868,5,0.3657462209651763,train
214,Talvep Computing,0.6093413318541172,3,0.6598756263781687,train
215,Frelex Outlets,0.9774185676669092,5,0.7980631397529189,train
216,Xovol Goods,0.5360407892159389,2,0.6590120495652884,train
217,Urvel Grid,0.6975632012904052,1,1.0034221925521414,train
218,Wrelal Financial,0.2905401118077502,2,0.26231745609798407,train
219,Jorvis Fuels,0.7096019402518134,1,0.5710089932828722,train
220,Frelis Genomics,0.795635037465473,4,0.37417345896424337,train
221,Dralol Computing,0.5421033934503013,2,0.15847322713124357,train
222,Kelvik Power,0.5401002119457257,2,0.11734418992121853,train
223,Creven Securities,0.5621503957692603,1,0.5557971048645445,train
224,Plevep Power,0.5325967917508099,2,0.5128594929895488,train
225,Jovik Asset,0.2852389331037517,4,0.17092523751565658,train
226,Plevep Power,0.8752028574090149,3,0.7304720643872671,train
227,Halvax Networks,0.6387196743983806,4,0.8230594153886552,train
228,Nolvis Devices,0.919603049856824,5,0.43702863765305766,train
229,Jorvix Diagnostics,0.9376788375145847,4,0.8691516979402889,train
230,Zelval Energy,0.5303297909487029,3,1.0606595818974058,train
231,Ulvyn Microchips,0.728071559186333,4,0.716605358304232,train
232,Jovor Networks,0.7571662200090463,4,0.5539015941633626,train
233,Holtar Stores,0.8378844070056657,3,0.04949731094025123,train
234,Relvos Biosciences,0.635844738613067,2,0.4962941083519586,train
235,Orevex Renewables,0.23329445560177797,4,0.27626008046188966,train
236,Jovor Networks,0.8645994999746525,1,0.8004172448954014,train
237,Brevon Microchips,0.5478181880540843,2,0.04949261838954061,train
238,Wyrnik Sciences,1.1317056089551742,6,1.5395971267449424,train
239,Strynal Industries,0.6409550101542558,2,0.10094629360009344,train
240,Yorval Partners,0.8015498417581792,1,0.7971275202449466,train
241,Talvix Holdings,0.7906242616645431,3,0.1401018413576256,train
242,Joval Brands,0.8557466419690102,4,0.6488015654284722,train
243,Jovor Networks,0.8079197056570445,1,0.8352410069508478,train
244,Talvyn Goods,1.1351134414860433,4,0.8969413350448076,train
245,Arnik Commerce,1.350388929455451,4,1.370168949290142,train
246,Dralol Computing,0.913348711912978,6,1.2567043912357585,train
247,Nerven Grid,1.215894493964269,6,1.2511628946379971,train
248,Ulvyn Microchips,1.2614538994434374,3,1.4188961199375876,train
249,Orevov Solutions,1.4171560251090753,3,1.7485109046245606,train
250,Relvon Fuels,0.831116776146445,1,0.759156628433506,train
251,Krevum Pharmaceuticals,0.7099219259541225,1,0.31598219003844424,train
252,Nolvav Commerce,0.3535530592812846,2,0.7071061185625692,train
253,Zelvix Therapeutics,0.8274773730071199,4,0.6772883786891036,train
254,Halvax Networks,0.7421389116614981,1,0.7229645939475092,train
255,Kelvik Power,0.3917614016815454,3,0.2454010869011633,train
256,Talvep Computing,0.6566376653560682,3,0.9212484641255929,train
257,Halven Investments,0.6001069214800974,3,0.8769657852959172,train
258,Nerval Biopharma,0.83649867442223,1,0.6936616812822323,train
259,Crevex Labs,1.009916081576758,3,0.7385756548841973,train
260,Varvov Retail,0.660825448530235,3,0.3875335354148002,train
261,Volval Devices,0.23181145751056811,5,0.23298423680025007,train
262,Wyrnik Sciences,0.41253641432770216,3,0.10441487253530823,train
263,Jovik Asset,0.6707111223927731,2,0.503369631399597,train
264,Jovik Asset,0.8879505466178405,2,0.7699358240973548,train
265,Talvep Computing,0.5738272034183426,2,0.3250575075161038,train
266,Frelol Software,0.7836367835244918,2,1.001422195834781,train
267,Orevex Renewables,1.3221845620021222,3,1.411946219474857,train
268,Ixenis Outlets,0.8734189280357328,6,1.207888593790676,train
269,Wyrnik Sciences,0.5034475502448671,3,0.45728662239926604,train
270,Orevar Marketplace,0.5471971445438294,4,0.17266018546853779,train
271,Volval Devices,0.16493186729441994,5,0.01158629425646135,train
272,Jovik Asset,0.4648654681527994,2,0.06576857164760397,train
273,Brevon Microchips,0.9414483557325735,2,0.9698159177671724,train
274,Holtar Stores,0.2107966087636305,2,0.029775613036530563,train
275,Strynal Industries,0.7893835783375432,2,0.21791188200702838,train
276,Talvyn Goods,1.337720789391327,6,1.668781174379903,train
277,Myrnep Technologies,0.26298296471672855,2,0.18131224561885728,train
278,Orevar Marketplace,1.2006236356921391,5,1.257142316573185,train
279,Nolvol Resources,0.9694451356782819,2,0.4859051822760745,train
280,Talvyn Goods,0.8487750270653747,3,0.4341738325480411,train
281,Frelol Software,0.48421344789791876,2,0.14729497003778053,train
282,Grevon Biotech,0.6855400988837117,3,0.3064393631484608,train
283,Yorven Labs,1.0625837296599092,4,1.2876617635716534,train
284,Halvix Holdings,0.20371342766915285,2,0.05627994070863762,train
285,Halven Investments,0.5230624545401794,3,0.11242016975040858,train
286,Brevon Microchips,0.26336827693590376,3,0.07078936006566255,train
287,Ulvon Renewables,0.7073730440074831,6,0.34162718560213023,train
288,Pleven Trading,0.6634937629054524,3,0.10877259718585486,train
289,Halvix Holdings,0.12163124537180911,1,0.17975163744165623,train
290,Nolvav Commerce,0.533404875206763,3,0.36359649068192684,train
291,Myrnep Technologies,0.39347443609192767,1,0.1317414709830258,train
292,Varvov Retail,0.6664423707822984,3,0.6570837797132737,train
293,Calvos Genomics,0.3402236413447635,3,0.2818200029581386,train
294,Dralol Computing,0.5331369119790552,4,0.1286056081840714,train
295,Jorvis Fuels,1.0060776687938309,6,0.4935996598221907,train
296,Jorvix Diagnostics,1.364298151848692,5,1.4510642477757514,train
297,Creven Securities,0.17922554784883551,2,0.18919005320608995,train
298,Talvyn Goods,0.9149682873875156,4,0.5663129102700648,train
299,Relvan Software,0.8175238167059496,6,0.4699779224426987,train
300,Crevol Retail,0.07098655963801778,2,0.01442791806441443,train
301,Xovol Goods,0.5079033857580822,1,0.043140793282795964,train
302,Arnos Marketplace,0.5312291396580079,3,0.7491046640517466,train
303,Talvep Computing,0.8606279266805118,1,0.8982039914331185,train
304,Nerven Grid,0.39478408027958695,2,0.21801653191425116,train
305,Brevon Microchips,0.23866302692252844,2,0.26309758420107454,train
306,Crevol Retail,0.9761794271952982,2,0.5225296155695014,train
307,Zrovov Advisors,1.1067085763720392,4,0.6325619673992122,train
308,Pleven Trading,0.05489443679119384,3,0.057706617836981645,train
309,Kelvik Power,0.8091499770503506,5,0.08313745397593064,train
310,Brevep Systems,0.6432409289557066,4,0.5590765941633192,train
311,Ixenix Technologies,0.831604672608111,1,1.0475740603586017,train
312,Dralol Computing,0.6802122716621012,2,0.7091933842807888,train
313,Jorvyl Securities,0.4667499881497814,4,0.13708529536387237,train
314,Relvos Biosciences,0.5202101433030503,2,0.15390020505575613,train
315,Grevon Biotech,0.313076424320074,4,0.044352188515460245,train
316,Ilval Financial,0.5635649879078344,2,0.34016088941507283,train
317,Relvos Biosciences,1.2824564542600003,4,1.1880529876983899,train
318,Joval Brands,0.6269530952328387,10,0.30636968717036245,train
319,Relvos Biosciences,0.8246994686857665,1,0.8696041403611754,train
320,Xovol Goods,0.5434264806759033,4,0.07489327888109032,train
321,Grevon Biotech,0.39482803718969545,1,0.317576092604658,train
322,Calvos Genomics,1.0202695154600558,2,1.122802391556835,train
323,Jorvyl Securities,0.630556926864051,2,0.3457551703298815,train
324,Ulvon Renewables,0.7296916873062428,1,0.5476639025331502,train
325,Brevep Systems,0.9409199200205769,2,0.9741131757971709,train
326,Crevol Retail,0.5745247893678973,2,0.32258788633070773,train
327,Frelis Genomics,1.0915446331290743,5,1.2875155825503664,train
328,Xelvol Biotech,0.6576000941680269,3,0.11498479670657658,train
329,Xovol Goods,0.7382145865242833,2,0.03200132476482853,train
330,Varvov Retail,0.585142271953104,4,0.1848426641778521,train
331,Zelvel Capital,1.045798701930827,5,1.5157400074805225,train
332,Relvos Biosciences,0.70710642626731,3,1.4142128525346203,train
333,Zelvon Biosciences,0.707106589351755,5,1.41421317870351,train
